,0
865,1070.82
866,1070.82
867,1041.12
868,1024.74
869,1039.5
870,1165.68
871,1220.4
872,1389.06
873,1533.24
874,1540.26
875,1529.82
876,1487.52
877,1450.08
878,1420.56
879,1443.96
880,1442.16
881,1476.72
882,1459.26
883,1346.4
884,1291.14
885,1240.74
886,1194.12
887,1164.78
888,1159.2
889,1105.38
890,1121.94
891,1116.9
892,1103.58
893,1092.42
894,1083.06
895,1079.28
896,1207.44
897,1275.66
898,1245.78
899,1206.72
900,1173.78
901,1170.72
902,1251.54
903,1310.22
904,1280.7
905,1264.86
906,1184.4
907,1188.36
908,1157.4
909,1171.62
910,1164.78
911,1154.88
912,1133.82
913,1109.88
914,1104.84
915,1122.48
916,1119.06
917,1118.16
918,1132.74
919,1150.02
920,1174.5
921,1205.28
922,1199.7
923,1187.1
924,1181.52
925,1261.26
926,1227.96
927,1275.84
928,1321.74
929,1353.6
930,1466.82
931,1482.3
932,1446.12
933,1427.58
934,1432.8
935,1407.42
936,1374.84
937,1328.4
938,1301.94
939,1290.24
940,1292.4
941,1304.64
942,1368.18
943,1366.92
944,1459.98
945,1806.48
946,1868.4
947,1726.92
948,1639.44
949,1591.02
950,1578.78
951,1643.04
952,1692.54
953,1700.46
954,1650.78
955,1570.14
956,1446.3
957,1411.92
958,1361.88
959,1344.24
960,1282.68
961,1219.32
962,1173.24
963,1165.86
964,1154.34
965,1172.34
966,1214.28
967,1263.24
968,1419.48
969,1620.72
970,1611.36
971,1606.32
972,1634.4
973,1498.68
974,1497.96
975,1548.72
976,1499.22
977,1495.26
978,1675.62
979,1742.4
980,1644.48
981,1610.1
982,1529.82
983,1477.62
984,1432.26
985,1377.72
986,1347.48
987,1347.84
988,1359.0
989,1337.4
990,1385.1
991,1439.64
992,1559.16
993,1522.62
994,1457.1
995,1416.6
996,1360.08
997,1377.9
998,1350.0
999,1334.52
1000,1354.86
1001,1418.94
1002,1400.94
1003,1377.18
1004,1294.74
1005,1277.28
1006,1208.16
1007,1145.88
1008,1099.62
1009,1035.72
1010,1004.4
1011,1025.1
1012,1023.3
1013,1020.78
1014,1134.9
1015,1187.1
1016,1321.56
1017,1479.06
1018,1510.2
1019,1516.68
1020,1532.88
1021,1544.4
1022,1603.8
1023,1623.24
1024,1636.38
1025,1620.36
1026,1538.28
1027,1481.76
1028,1461.06
1029,1365.48
1030,1319.4
1031,1257.84
1032,1202.94
1033,1173.78
1034,1134.36
1035,1131.66
1036,1134.72
1037,1146.42
1038,1193.76
1039,1267.2
1040,1396.98
1041,1520.82
1042,1552.14
1043,1549.98
1044,1473.3
1045,1401.66
1046,1416.6
1047,1478.52
1048,1432.44
1049,1489.32
1050,1477.98
1051,1433.34
1052,1372.68
1053,1335.6
1054,1299.78
1055,1269.36
1056,1228.86
1057,1227.96
1058,1193.58
1059,1189.26
1060,1178.28
1061,1175.22
1062,1170.72
1063,1178.82
1064,1155.06
1065,1161.36
1066,1139.04
1067,1114.38
1068,1025.82
1069,986.76
1070,1025.28
1071,1039.14
1072,1038.78
1073,1123.02
1074,1133.28
1075,1100.16
1076,1073.52
1077,1066.14
1078,1100.16
1079,1108.08
1080,1089.36
1081,1067.58
1082,1040.94
1083,1009.26
1084,987.3
1085,986.94
1086,967.5
1087,1000.44
1088,1022.94
1089,1036.44
1090,1018.62
1091,983.7
1092,1015.38
1093,1056.42
1094,1062.18
1095,1102.68
1096,1105.02
1097,1085.04
1098,1152.36
1099,1176.48
