,f_fwd,f_bwd,avr_mse
447,19.0,16.0,0.0020911822955276367
376,16.0,17.0,0.002091361663171824
518,22.0,15.0,0.0020922849659803684
472,20.0,17.0,0.002100972202541028
495,21.0,16.0,0.002103855536486337
564,24.0,13.0,0.002106607677435027
355,15.0,20.0,0.002110171779164556
286,12.0,23.0,0.0021110718044988035
263,11.0,24.0,0.002111815107018193
354,15.0,19.0,0.0021126642709753413
446,19.0,15.0,0.0021215637306749233
356,15.0,21.0,0.0021222413070625264
423,18.0,16.0,0.0021299801107145856
540,23.0,13.0,0.0021370066440113754
353,15.0,18.0,0.0021406927503139065
517,22.0,14.0,0.0021408510463316807
333,14.0,22.0,0.0021431782393208604
399,17.0,16.0,0.0021440785708869018
262,11.0,23.0,0.00214521190210139
494,21.0,15.0,0.002145998944175807
239,10.0,24.0,0.0021485002134085007
375,16.0,16.0,0.0021526695338771468
422,18.0,15.0,0.00216095336168942
215,9.0,24.0,0.0021651131266368566
471,20.0,16.0,0.0021659112375468376
445,19.0,14.0,0.002173982511676018
352,15.0,17.0,0.0021746192908558906
309,13.0,22.0,0.002176963054130202
398,17.0,15.0,0.0021786899265944302
331,14.0,20.0,0.002186389470850565
330,14.0,19.0,0.0021889170197709343
332,14.0,21.0,0.0021894333196553306
562,24.0,11.0,0.002191545628054552
238,10.0,23.0,0.002191602353641792
285,12.0,22.0,0.002195033402114088
374,16.0,15.0,0.002196822196204231
493,21.0,14.0,0.0021968452793424517
563,24.0,12.0,0.0021981904429320726
470,20.0,15.0,0.0022007868782121577
516,22.0,13.0,0.0022024725174428707
307,13.0,20.0,0.002211028811172558
421,18.0,14.0,0.002212315032380648
308,13.0,21.0,0.002217029979968592
214,9.0,23.0,0.0022196686129872687
329,14.0,18.0,0.0022198845481509496
306,13.0,19.0,0.0022213898686617105
283,12.0,20.0,0.0022225534281209314
538,23.0,11.0,0.0022231043901302272
539,23.0,12.0,0.0022313342486802346
284,12.0,21.0,0.002232600987260296
282,12.0,19.0,0.0022351408321426482
397,17.0,14.0,0.0022352246769453857
561,24.0,10.0,0.002241663723192383
191,8.0,24.0,0.0022418267540484198
261,11.0,22.0,0.0022438718592917607
351,15.0,16.0,0.0022514838089965038
444,19.0,13.0,0.0022518081937734826
469,20.0,14.0,0.002252987267556287
373,16.0,14.0,0.002253166301537135
328,14.0,17.0,0.002254566323081217
305,13.0,18.0,0.0022560276213692697
537,23.0,10.0,0.0022779683386942675
492,21.0,13.0,0.0022780263214726136
260,11.0,21.0,0.0022824244418294154
281,12.0,18.0,0.002283190241826723
259,11.0,20.0,0.0022876044945911327
190,8.0,23.0,0.0022932881222250665
237,10.0,22.0,0.002298517947578033
420,18.0,13.0,0.002302060375738165
350,15.0,15.0,0.0023031824147508395
258,11.0,19.0,0.002306424317434105
304,13.0,17.0,0.002308536887297109
213,9.0,22.0,0.0023276421026465627
396,17.0,13.0,0.002330548512331932
468,20.0,13.0,0.0023326509105612487
280,12.0,17.0,0.002333502416211757
