,total,chk_3,chk_4,ratio3
bf2c5e96,,,,
d4fde90b,,,,
af7ba042,,,,
9dc53780,,,,
75c474f7,,,,
097b30c5,,,,
dbadee9b,,,,
a5816309,,,,
5740597f,,,,
876fb5f4,,,,
11c1c74c,,,,
9991797a,,,,
1608c9f5,,,,
7a8704d6,,,,
2d901ebd,,,,
7e831572,,,,
8e442c28,,,,
75b9039d,,,,
dadb625a,,,,
e3f2d066,,,,
ccf5d637,,,,
70583284,,,,
74c5bf69,,,,
8a08ba6e,,,,
570a4827,,,,
e9fd48d3,,,,
5326bda4,,,,
36300fea,,,,
8b2acfed,,,,
70848038,,,,
fcad905a,,,,
d5c6251a,,,,
6199fc9f,,,,
073d726c,,,,
67e2f814,,,,
6e601106,,,,
79c6ab0e,,,,
3b46adba,,,,
f2132830,,,,
e9827f20,,,,
ebd77457,,,,
39c82050,,,,
39a84b0e,,,,
95b3130a,,,,
da0cb670,,,,
b3e8ca0e,,,,
c1da4b52,,,,
a0b88096,,,,
26875d5c,,,,
646f28fe,,,,
7f9924fe,,,,
22e60440,,,,
b4006780,,,,
ff4dfaaa,,,,
96cc7ea8,,,,
694f97fc,,,,
75d54af0,,,,
61839a9b,,,,
6fb51ae0,,,,
41e83059,,,,
713b3908,,,,
86bb8ac3,,,,
82bbe5e5,,,,
6cf0bbd2,,,,
6c4b9a51,,,,
185727b2,,,,
1b9890a0,,,,
e897039d,,,,
da60f635,,,,
9a447d03,,,,
37336c87,,,,
fe036e4f,,,,
efcce944,,,,
d81ccde5,,,,
29e3bba2,,,,
f00bcd5e,,,,
75cd4f02,,,,
d74814a5,,,,
403d9c3c,,,,
d63deb79,,,,
2ab63eca,,,,
c88ec741,,,,
06cff915,,,,
fd41d840,,,,
86789b28,,,,
bdbe48cf,,,,
0fd44adb,,,,
9516ed66,,,,
283eaf45,,,,
5c380488,,,,
b86653c3,,,,
ff211227,,,,
6bf27127,,,,
82179bc9,,,,
85e81782,,,,
331b06cf,,,,
214e476c,,,,
df214a06,,,,
9f87331d,,,,
7bf4fa4b,,,,
df3a06b6,,,,
d26e80bb,,,,
bb2283f0,,,,
6bb6a5cc,,,,
2bc61413,,,,
ef1264f9,,,,
ba292aa3,,,,
7dc39c14,,,,
f8ffc354,,,,
59d8d39b,,,,
3d1d10b7,,,,
3ecb37b9,,,,
12c48977,,,,
8141cb41,,,,
fc7feba4,,,,
25cfe085,,,,
4a8c833e,,,,
1586a64c,,,,
2ed999c0,,,,
2888e360,,,,
e5eaa541,,,,
e66ac359,,,,
2cc555e2,,,,
f4d58aa6,,,,
2f3caf67,,,,
e250d4ed,,,,
717dffb3,,,,
707859b3,,,,
871745df,,,,
a52d6c48,,,,
00192547,,,,
259bcf98,,,,
4f0773d2,,,,
fb23ac30,,,,
3f27ea71,,,,
8d3315f0,,,,
cc622ac8,,,,
226a710f,,,,
60b30ed7,,,,
dcbf25ba,,,,
7fc5ed7f,,,,
83485844,,,,
976d6a4b,,,,
f1f341bf,,,,
96db87d3,,,,
b18b0c59,,,,
964a5c6b,,,,
84dc4350,,,,
caa88a42,,,,
107aece8,,,,
5392b11c,,,,
8d3f6d3f,,,,
f1c0e574,,,,
16ae7cbd,,,,
865f3ad4,,,,
146d61d7,,,,
78606266,,,,
e1a8c127,,,,
b6fd3af0,,,,
900f5748,,,,
56b73699,,,,
701c1253,,,,
91e000c8,,,,
3b0c1bc3,,,,
e806e095,,,,
d378351b,,,,
fc42d690,,,,
a5dfed90,,,,
a37fb062,,,,
84dce779,,,,
f2f1de9c,,,,
d6035199,,,,
3c3a044a,,,,
e0e40cf5,,,,
e7d6b0c4,,,,
4c49235d,,,,
e35782ea,,,,
3bf39140,,,,
aaa14a83,,,,
0a6f999f,,,,
88e25d22,,,,
b7bc7bf3,,,,
6b112e26,,,,
9444db88,,,,
61554e1a,,,,
db92b170,,,,
634efcf0,,,,
9ca4dfa8,,,,
c4e0313d,,,,
fb43cc62,,,,
abbafac6,,,,
7d4d0c79,,,,
4b4cdfff,,,,
576ece5c,,,,
c6513d13,,,,
7538e805,,,,
4e3a80af,,,,
0b4c242c,,,,
42c00c65,,,,
ab176214,,,,
54fbc1a9,,,,
88716c65,,,,
ff8341e4,,,,
0a176e6c,,,,
25f577cf,,,,
aff1aa18,,,,
c392f659,,,,
deb78a51,,,,
eb61e78a,,,,
9c7761dd,,,,
b24918b3,,,,
b641655d,,,,
db505a97,,,,
3e95a748,,,,
6dcd9f9d,,,,
fc5014c1,,,,
e4a632ef,,,,
77747d7c,,,,
92736d89,,,,
7b8dd9b4,,,,
d46825b3,,,,
9b60457b,,,,
66fbe74d,,,,
078baa5b,,,,
e87f0562,,,,
4bd97ea9,,,,
f80b87fe,,,,
6988d53c,,,,
2031e605,,,,
1eb949cb,,,,
ed080bb2,,,,
689b0f0d,,,,
6285b589,,,,
f07ef7c2,,,,
d4849a44,,,,
4c3dcc8f,,,,
2713e21b,,,,
3862bb8c,,,,
0da00821,,,,
86c10921,,,,
2575b030,,,,
a75c1f5f,,,,
9a775056,,,,
00f8c7a4,,,,
13217975,,,,
ce868b59,,,,
86854bfb,,,,
5ebd5db6,,,,
3d680405,,,,
ab069966,,,,
3fa5c6d0,,,,
73177bec,,,,
15b87761,,,,
0cf60d4c,,,,
445faad4,,,,
a417747f,,,,
09c30a79,,,,
82ae69ee,,,,
6cec6db1,,,,
3f8572ff,,,,
c371fddf,,,,
e60c61d0,,,,
dd868759,,,,
59d26382,,,,
f5aef4ac,,,,
2a1bde6c,,,,
1cdf7480,,,,
077a593a,,,,
762041ef,,,,
d22c589b,,,,
4f8728cd,,,,
05b71a91,,,,
2bd12178,,,,
ce02f219,,,,
edc05f9a,,,,
60d9f657,,,,
647240f6,,,,
14ab9780,,,,
87f5bb22,,,,
32c106e9,,,,
5214ad4d,,,,
e03ba9ea,,,,
5a6c1437,,,,
05e5ded1,,,,
7d100710,,,,
0f8345ed,,,,
230a244f,,,,
1ebb1bfb,,,,
3ab06e81,,,,
8be02aff,,,,
46ecbd3f,,,,
e5689fa3,,,,
77ef49c0,,,,
77554b9b,,,,
d644f598,,,,
60925f26,,,,
75dfcfc3,,,,
46fb04b5,,,,
8c6bf0ee,,,,
6b66bb22,,,,
baa06481,,,,
a1fa892f,,,,
84b019fa,,,,
db8e2a69,,,,
9ad2c2be,,,,
b3ac22f8,,,,
9a5bf52a,,,,
86e68fcb,,,,
6e06a159,,,,
0be963d3,,,,
dfbdd82d,,,,
d8a39d62,,,,
f96fa9bc,,,,
635758d7,,,,
bc6fa446,,,,
9e325cdb,,,,
6eb36251,,,,
514ad6f0,,,,
95c04eff,,,,
ea0521dc,,,,
5bb1f121,,,,
9d9f5ad6,,,,
0429afad,,,,
09d5e996,,,,
24e49382,,,,
65df4cf3,,,,
fca9084b,,,,
5b6bdd9b,,,,
3f372ec8,,,,
75c2642e,,,,
c2eaee19,,,,
ac3b7ff1,,,,
b3312d15,,,,
d82da19f,,,,
77d69e58,,,,
83942aa2,,,,
c413a40b,,,,
385f475e,,,,
a90716b6,,,,
27b2ff36,,,,
9bc36599,,,,
f0cf7cd9,,,,
352c10d5,,,,
715f7be6,,,,
61966f51,,,,
d3f31524,,,,
1a367315,,,,
07af6e38,,,,
60702f5b,,,,
280ca5a0,,,,
e61a4efd,,,,
a78eaff8,,,,
cf33855a,,,,
05fe12be,,,,
509b79a9,,,,
73c45978,,,,
c64cec2e,,,,
d6219ee2,,,,
bb26979c,,,,
52db3c55,,,,
44a45ddc,,,,
03b942cb,,,,
2516f5b9,,,,
cd637231,,,,
97e10aba,,,,
ea6b0541,,,,
ea6075cb,,,,
b9ed1764,,,,
7b2cf7e5,,,,
647b8301,,,,
df8b53a4,,,,
4cd45353,,,,
31effd72,,,,
a1d8f3aa,,,,
853d4e2b,,,,
4f3346a6,,,,
602ad381,,,,
2ea7bbec,,,,
d531497d,,,,
66996beb,,,,
c4a16537,,,,
f05592ff,,,,
a8dd4cb2,,,,
0bb7b9e5,,,,
065b9694,,,,
42f8fc30,,,,
f145ea40,,,,
6f7f1eba,,,,
7ec3f6c3,,,,
d879368e,,,,
6e3eaa93,,,,
160a9e6b,,,,
6cc9338d,,,,
b31c8248,,,,
9a014d78,,,,
511bd58a,,,,
939aa10d,,,,
d959690b,,,,
60d4a9c2,,,,
28856e4b,,,,
1a691c89,,,,
58a9c970,,,,
6a915a84,,,,
ca8fb0c3,,,,
d53aa36f,,,,
70179445,,,,
1fef757b,,,,
2aad5436,,,,
b40d8bde,,,,
ef54deab,,,,
7ccd9e41,,,,
31898750,,,,
ab09d141,,,,
111ae13c,,,,
7a86dd13,,,,
1d68ff23,,,,
02bc8697,,,,
aef16ec7,,,,
08be7469,,,,
22c222f1,,,,
955131bd,,,,
f1509820,,,,
43c4a063,,,,
f160ae10,,,,
34b47409,,,,
6c001e77,,,,
ca506306,,,,
7ddc75e3,,,,
447fff11,,,,
4fe40bac,,,,
fa88a318,,,,
5b887f64,,,,
c9c03b8e,,,,
60a371a0,,,,
76c30814,,,,
da937f12,,,,
f9fb8541,,,,
f964868d,,,,
1167ca91,,,,
21d18f94,,,,
2af15900,,,,
d293a40c,,,,
64f5a670,,,,
ba7d470d,,,,
1213357c,,,,
18cb041a,,,,
5bf1247e,,,,
3db083c6,,,,
74f1d529,,,,
