,f_fwd,f_bwd,avr_rmse
562,24.0,11.0,0.033143004999526486
262,11.0,23.0,0.03318712973914845
330,14.0,19.0,0.033227649803486414
422,18.0,15.0,0.033229477933042574
239,10.0,24.0,0.03325450641618144
538,23.0,11.0,0.03330340874291678
285,12.0,22.0,0.03331291177095207
308,13.0,21.0,0.03332033076550885
375,16.0,16.0,0.033322565843600944
307,13.0,20.0,0.03333855927647947
352,15.0,17.0,0.03334378963510738
469,20.0,14.0,0.033349722137119085
445,19.0,14.0,0.03339768536703939
398,17.0,15.0,0.03340589678438224
329,14.0,18.0,0.03343157537113938
492,21.0,13.0,0.033435751613785
561,24.0,10.0,0.033441011923927365
238,10.0,23.0,0.03346881068886786
215,9.0,24.0,0.03347370612318227
306,13.0,19.0,0.0334738173460247
24,2.0,1.0,0.03348681083759053
1,1.0,2.0,0.0334870183973829
515,22.0,12.0,0.03350493719059485
421,18.0,14.0,0.03355945987257218
283,12.0,20.0,0.03359171659890936
284,12.0,21.0,0.033599146363484295
261,11.0,22.0,0.03363367483617997
537,23.0,10.0,0.033637339116669815
374,16.0,15.0,0.03366368756714139
305,13.0,18.0,0.033693324476415994
468,20.0,13.0,0.03371921313921964
214,9.0,23.0,0.033720298061272636
444,19.0,13.0,0.03374503876691111
397,17.0,14.0,0.033760846263706665
282,12.0,19.0,0.033766016699917564
328,14.0,17.0,0.033783110144073814
351,15.0,16.0,0.03379845390258626
191,8.0,24.0,0.033811616998142155
514,22.0,11.0,0.033852815722208184
237,10.0,22.0,0.03390363590808065
420,18.0,13.0,0.033932163236206576
260,11.0,21.0,0.033934199124992744
491,21.0,12.0,0.033960469761084945
259,11.0,20.0,0.0339643643336924
560,24.0,9.0,0.034035575940629316
373,16.0,14.0,0.03403851479590612
281,12.0,18.0,0.0340425314066122
190,8.0,23.0,0.0340692973729729
304,13.0,17.0,0.034135618445259384
396,17.0,13.0,0.0341506710592236
258,11.0,19.0,0.03415589659179341
213,9.0,22.0,0.0341767367550051
350,15.0,15.0,0.034215427374957405
513,22.0,10.0,0.03424421506614765
327,14.0,16.0,0.03425589379534962
167,7.0,24.0,0.03426905392833038
536,23.0,9.0,0.03427385780443005
236,10.0,21.0,0.03428161553669425
467,20.0,12.0,0.034300567947566564
559,24.0,8.0,0.03432496931477422
443,19.0,12.0,0.034336817033213465
235,10.0,20.0,0.03436506588942323
490,21.0,11.0,0.03439368669618849
372,16.0,13.0,0.03440473165232191
257,11.0,18.0,0.034420375753217304
558,24.0,7.0,0.034439742864989464
280,12.0,17.0,0.0344557833485419
419,18.0,12.0,0.034498429596825864
189,8.0,22.0,0.03455342149964006
166,7.0,23.0,0.034563818507948554
349,15.0,14.0,0.03459062568079375
234,10.0,19.0,0.03459363226939348
212,9.0,21.0,0.034596053232664674
535,23.0,8.0,0.034601400046156486
143,6.0,24.0,0.034605559140047024
303,13.0,16.0,0.034607564248947856
211,9.0,20.0,0.03465233508568439
557,24.0,6.0,0.034667830890785636
326,14.0,15.0,0.034747858228349415
556,24.0,5.0,0.0347634436435609
534,23.0,7.0,0.0347739555062229
466,20.0,11.0,0.034777451769871064
395,17.0,12.0,0.03478058031577706
489,21.0,10.0,0.03479152002448811
442,19.0,11.0,0.03479740821390033
233,10.0,18.0,0.0348471632232505
210,9.0,19.0,0.034903307321249695
256,11.0,17.0,0.03490467237631911
142,6.0,23.0,0.03496013669427872
119,5.0,24.0,0.03496730383259897
188,8.0,21.0,0.03496982570879312
418,18.0,11.0,0.03497034758590993
348,15.0,13.0,0.034977525108502695
512,22.0,9.0,0.034991690024728836
279,12.0,16.0,0.03499769039083258
187,8.0,20.0,0.03501550935425743
533,23.0,6.0,0.03502665707450471
371,16.0,12.0,0.03508552326581229
