,total,chk_3,chk_4,ratio3
80a65214,,,,
b901dfe9,,,,
183fcd70,,,,
fad1c217,,,,
b24eacec,,,,
bf70afa3,,,,
427c00ee,,,,
a17255a1,,,,
9ce84acf,,,,
1dba2b37,,,,
487e64da,,,,
237a71c5,,,,
bb29c647,,,,
20ed6993,,,,
6cac52b6,,,,
16ac012c,,,,
29e08217,,,,
8970aa83,,,,
8c0e745c,,,,
ff41dcce,,,,
2c1a1edf,,,,
333578df,,,,
b72c6c5c,,,,
578e485d,,,,
2a7c377d,,,,
858904c6,,,,
0a72e343,,,,
f0dc67b3,,,,
4edf8b92,,,,
2f1570c3,,,,
cc8aa3f9,,,,
c5322480,,,,
165d3185,,,,
05dc037d,,,,
b2c816b4,,,,
f2913f04,,,,
e6da83f1,,,,
4ae42493,,,,
994e38ce,,,,
93f8ccfb,,,,
90cbe93d,,,,
df6d2b3b,,,,
3d33295e,,,,
0b12e85d,,,,
56dcba3a,,,,
d3b05299,,,,
77c87d38,,,,
01fa94ff,,,,
b2fa5328,,,,
c0fb4e01,,,,
a3a9ed22,,,,
383a9ffa,,,,
c4c1db30,,,,
822802ad,,,,
56a8ab2c,,,,
7ab49d95,,,,
b7a683b6,,,,
e7288377,,,,
ff0686de,,,,
ec1566ce,,,,
54ccfcbd,,,,
4a721ea9,,,,
fc94504b,,,,
2ed71b7e,,,,
a235c32d,,,,
141ee987,,,,
8b100544,,,,
5308f243,,,,
8cd298e0,,,,
5e39edb2,,,,
b0a0f85a,,,,
91846462,,,,
ad177567,,,,
21720c0c,,,,
7cbf0961,,,,
78da1009,,,,
50063e62,,,,
920a44a0,,,,
1b29f3a3,,,,
01b554b3,,,,
a1b1fa62,,,,
6a60539f,,,,
f2f243c7,,,,
d3559883,,,,
