,f_fwd,f_bwd,avr_mse,avr_rmse,avr_smape
198,9,7,0.090646152,0.221956253,51.30817225
199,9,8,0.08508136,0.216483026,50.35791385
200,9,9,0.081904818,0.212090503,49.52323516
201,9,10,0.078869716,0.208875346,49.13461952
202,9,11,0.077113029,0.206334177,48.72007196
203,9,12,0.075436273,0.204301353,48.23093119
204,9,13,0.072539901,0.201773027,47.71079397
205,9,14,0.069944043,0.199947658,47.46599703
206,9,15,0.068579541,0.198664879,47.22244275
207,9,16,0.067658023,0.197714317,47.00102596
208,9,17,0.066564727,0.196411227,46.74073771
209,9,18,0.065427668,0.195418683,46.62999151
210,9,19,0.064378168,0.194629684,46.42416183
211,9,20,0.063405236,0.193871539,46.22111224
212,9,21,0.062565336,0.193445891,46.12921313
213,9,22,0.061471873,0.192372828,45.95374814
214,9,23,0.060287761,0.190872209,45.71493942
215,9,24,0.05924736,0.189567196,45.52953183
216,10,1,0.289885562,0.331632733,64.65749648
217,10,2,0.175375089,0.279115952,59.06299221
218,10,3,0.138280117,0.256639664,56.18440664
219,10,4,0.115138841,0.240127952,53.78003781
220,10,5,0.102897721,0.229583409,52.07796044
221,10,6,0.090443589,0.22130548,51.01940285
222,10,7,0.084956382,0.215935932,50.15890048
223,10,8,0.081575102,0.212014414,49.44812196
224,10,9,0.078475136,0.208065359,48.7208101
225,10,10,0.075216491,0.205184871,48.44238115
226,10,11,0.074149318,0.203420948,48.13836375
227,10,12,0.0723995,0.201462942,47.68855544
228,10,13,0.070279346,0.199601792,47.27440799
229,10,14,0.068406992,0.198217917,47.0378073
230,10,15,0.067211005,0.197094445,46.84046607
231,10,16,0.066483848,0.196367773,46.6676076
232,10,17,0.065659638,0.195336989,46.46522744
233,10,18,0.064472894,0.194356136,46.36095307
234,10,19,0.063349016,0.193516029,46.17633945
235,10,20,0.062436218,0.192883082,46.0191581
236,10,21,0.061705199,0.192537472,45.94880559
237,10,22,0.060815937,0.191664517,45.83074722
238,10,23,0.059799947,0.190387401,45.65339766
239,10,24,0.058779836,0.189127534,45.47782225
240,11,1,0.197543407,0.289875942,60.25928049
241,11,2,0.140670043,0.257870085,56.27679432
242,11,3,0.121291326,0.242112885,54.0894274
243,11,4,0.104810919,0.230187753,52.34642581
244,11,5,0.091423181,0.221411183,51.10158779
245,11,6,0.084406527,0.215473474,50.16336571
246,11,7,0.080873154,0.211352773,49.34047158
247,11,8,0.077936971,0.208180035,48.67682653
248,11,9,0.07551327,0.205405725,48.17010179
249,11,10,0.073203702,0.203054116,47.91009915
250,11,11,0.072220162,0.201342728,47.68712738
251,11,12,0.070541615,0.199505227,47.2228896
252,11,13,0.068853439,0.198012284,46.87951793
253,11,14,0.067211801,0.196796538,46.73526471
254,11,15,0.066167842,0.195912823,46.58533407
255,11,16,0.065780173,0.195477498,46.45484809
256,11,17,0.065104303,0.194653219,46.28645955
257,11,18,0.063795026,0.193624964,46.19054332
258,11,19,0.062645634,0.192859023,46.09277344
259,11,20,0.061816146,0.192288782,45.96300606
260,11,21,0.061262848,0.192145641,45.94014448
261,11,22,0.060496523,0.19140105,45.86450688
262,11,23,0.059506384,0.190188814,45.67704684
263,11,24,0.058542435,0.188936914,45.51869417
264,12,1,0.151107421,0.263026463,57.28922903
265,12,2,0.119602665,0.240278725,53.95131544
266,12,3,0.105371505,0.229837642,52.36644074
267,12,4,0.092654216,0.220890517,50.86065855
268,12,5,0.083918435,0.214948695,50.04737629
269,12,6,0.078710513,0.210097185,49.26723979
270,12,7,0.07655392,0.20725569,48.59422166
271,12,8,0.074981635,0.205400564,48.20076178
272,12,9,0.073530586,0.203246738,47.72196605
273,12,10,0.071697236,0.201234941,47.50929929
274,12,11,0.07085612,0.199827579,47.31675664
275,12,12,0.069209044,0.198037779,46.93342442
276,12,13,0.067632399,0.196711777,46.66174783
277,12,14,0.066299204,0.195679359,46.49358592
278,12,15,0.065341011,0.194889474,46.38073956
279,12,16,0.065235605,0.194693101,46.29276743
280,12,17,0.064591978,0.19389218,46.15036387
281,12,18,0.063297746,0.192943991,46.0983636
282,12,19,0.062103028,0.192183506,45.97398675
283,12,20,0.061438915,0.191735642,45.87754637
284,12,21,0.060976302,0.191620254,45.87402345
285,12,22,0.060237802,0.190958599,45.8398244
286,12,23,0.059281902,0.189810046,45.67234162
287,12,24,0.058356814,0.188625388,45.47202976
288,13,1,0.125981521,0.245894437,55.06822215
289,13,2,0.103596529,0.229224646,52.39145528
290,13,3,0.093609101,0.221398231,51.0048027
291,13,4,0.085610323,0.215229037,50.05363355
