,filter len-forward,filter len-backward,avr_mse
19,1,20,0.08464518
86,4,15,0.084901934
222,10,7,0.084956382
199,9,8,0.08508136
2,1,3,0.08538331
63,3,16,0.085544909
291,13,4,0.085610323
154,7,11,0.08575116
40,2,17,0.085978823
361,16,2,0.086158888
131,6,12,0.088015121
176,8,9,0.088291544
384,17,1,0.088603576
338,15,3,0.088659941
108,5,13,0.088805489
18,1,19,0.089753512
17,1,18,0.089994948
62,3,15,0.090205841
221,10,6,0.090443589
85,4,14,0.090496475
153,7,10,0.090548102
198,9,7,0.090646152
39,2,16,0.090894965
244,11,5,0.091423181
314,14,3,0.091560421
130,6,11,0.091920352
337,15,2,0.092339031
267,12,4,0.092654216
290,13,3,0.093609101
107,5,12,0.093648044
175,8,8,0.094010847
360,16,1,0.094677745
16,1,17,0.09548975
84,4,13,0.0960024
38,2,15,0.096844376
61,3,14,0.097275085
152,7,9,0.097445751
313,14,2,0.098232743
106,5,11,0.098471799
197,9,6,0.098799315
129,6,10,0.100653391
83,4,12,0.101149488
174,8,7,0.101370066
220,10,5,0.102897721
336,15,1,0.102954005
289,13,2,0.103596529
60,3,13,0.103925986
15,1,16,0.104079213
243,11,4,0.104810919
266,12,3,0.105371505
37,2,14,0.105582375
151,7,8,0.107201119
128,6,9,0.109358585
82,4,11,0.109829248
105,5,10,0.109847118
173,8,6,0.111772243
312,14,1,0.112231229
196,9,5,0.11263713
59,3,12,0.113512314
36,2,13,0.114026264
219,10,4,0.115138841
14,1,15,0.116276864
150,7,7,0.116583593
265,12,2,0.119602665
242,11,3,0.121291326
81,4,10,0.124809269
49,3,2,0.125842284
104,5,9,0.125915937
288,13,1,0.125981521
13,1,14,0.126004195
127,6,8,0.126358001
26,2,3,0.128507333
58,3,11,0.128836964
72,4,1,0.13081311
35,2,12,0.131118774
195,9,4,0.132666633
172,8,5,0.134409957
149,7,6,0.137085459
218,10,3,0.138280117
241,11,2,0.140670043
126,6,7,0.140825177
12,1,13,0.144921569
57,3,10,0.146330394
80,4,9,0.146699979
264,12,1,0.151107421
3,1,4,0.153992225
34,2,11,0.155407626
103,5,8,0.162231987
171,8,4,0.168877602
194,9,3,0.170695711
