,f_fwd,f_bwd,avr_smape
113,5.0,18.0,23.465006446809333
505,22.0,2.0,23.46716992908856
159,7.0,16.0,23.506845476221052
252,11.0,13.0,23.519433224736673
45,2.0,22.0,23.524457262014906
390,17.0,7.0,23.559458644873608
413,18.0,6.0,23.56771300379691
229,10.0,14.0,23.57129282155695
68,3.0,21.0,23.57653796076895
90,4.0,19.0,23.59940176886438
48,3.0,1.0,23.625469992060875
528,23.0,1.0,23.628860591430048
22,1.0,23.0,23.636328390446987
459,20.0,4.0,23.641667126058675
436,19.0,5.0,23.644378788591887
482,21.0,3.0,23.66096783945615
367,16.0,8.0,23.671801981447448
321,14.0,10.0,23.677536633522767
182,8.0,15.0,23.700954602548496
89,4.0,18.0,23.70790762748176
275,12.0,12.0,23.711702092625753
2,1.0,3.0,23.729804718748824
67,3.0,20.0,23.744267594399442
344,15.0,9.0,23.764954981627078
298,13.0,11.0,23.80858603003295
412,18.0,5.0,23.842521114038785
135,6.0,16.0,23.846837091811718
389,17.0,6.0,23.849342346416826
112,5.0,17.0,23.852364211833486
205,9.0,14.0,23.856389168001183
66,3.0,19.0,23.899747054838794
228,10.0,13.0,23.934826829065443
435,19.0,4.0,23.956062645957125
481,21.0,2.0,23.964499958264042
366,16.0,7.0,23.981351269701985
458,20.0,3.0,24.00754417433334
251,11.0,12.0,24.00988227633556
44,2.0,21.0,24.042106285303394
88,4.0,17.0,24.04978227328923
65,3.0,18.0,24.07373916699469
504,22.0,1.0,24.084719643791143
158,7.0,15.0,24.09946602849053
343,15.0,8.0,24.111405684542266
297,13.0,10.0,24.121487016634344
320,14.0,9.0,24.138124880401925
21,1.0,22.0,24.141999513864608
388,17.0,5.0,24.14513258135764
181,8.0,14.0,24.155548738966214
274,12.0,11.0,24.18302231462008
43,2.0,20.0,24.184677304588195
204,9.0,13.0,24.211200086994285
411,18.0,4.0,24.212579156659533
434,19.0,3.0,24.234971150126448
111,5.0,16.0,24.244596773456138
365,16.0,6.0,24.26902456303988
457,20.0,2.0,24.34770265819238
42,2.0,19.0,24.400180457428952
87,4.0,16.0,24.407075856665248
342,15.0,7.0,24.4427374955608
227,10.0,12.0,24.47450644913086
387,17.0,4.0,24.505256234836324
64,3.0,17.0,24.5096295164958
134,6.0,15.0,24.548940064106908
250,11.0,11.0,24.55167233889728
410,18.0,3.0,24.55674906035013
180,8.0,13.0,24.557210910796915
319,14.0,8.0,24.56511509087486
480,21.0,1.0,24.569330243060513
364,16.0,5.0,24.596357725974087
41,2.0,18.0,24.60785930766265
296,13.0,9.0,24.636781653732253
433,19.0,2.0,24.64933580633677
273,12.0,10.0,24.659103693350648
157,7.0,14.0,24.664036225797986
20,1.0,21.0,24.741816249770228
341,15.0,6.0,24.753128708270378
203,9.0,12.0,24.75613804359881
386,17.0,3.0,24.799174277682468
110,5.0,15.0,24.95585597272864
363,16.0,4.0,24.972380386074963
409,18.0,2.0,24.985969436295534
318,14.0,7.0,25.00497682276458
456,20.0,1.0,25.02231393847653
19,1.0,20.0,25.04095149558609
226,10.0,11.0,25.066365651085096
249,11.0,10.0,25.073582449018165
295,13.0,8.0,25.109451216922512
63,3.0,16.0,25.126813236305136
179,8.0,12.0,25.159966127566687
40,2.0,17.0,25.18630972606697
340,15.0,5.0,25.202483750188204
86,4.0,15.0,25.20904552733665
133,6.0,14.0,25.216382974093033
272,12.0,9.0,25.269550315643336
385,17.0,2.0,25.271359861384443
156,7.0,13.0,25.271592860981432
362,16.0,3.0,25.288067510843682
432,19.0,1.0,25.379720077481032
18,1.0,19.0,25.381741495767322
317,14.0,6.0,25.395239042807155
202,9.0,11.0,25.478386100305663
339,15.0,4.0,25.595963596071147
294,13.0,7.0,25.597662464612316
248,11.0,9.0,25.610039341610275
225,10.0,10.0,25.6577984791018
109,5.0,14.0,25.695088909250284
361,16.0,2.0,25.754260640475803
39,2.0,16.0,25.77235729160528
271,12.0,8.0,25.778698665964093
408,18.0,1.0,25.78065170367187
17,1.0,18.0,25.799495606577157
132,6.0,13.0,25.87197345787651
62,3.0,15.0,25.897666725252694
155,7.0,12.0,25.937716410350646
316,14.0,5.0,25.938983772116572
178,8.0,11.0,25.9426075645173
338,15.0,3.0,25.99889145183755
293,13.0,6.0,26.097947123472057
201,9.0,10.0,26.122364385680278
85,4.0,14.0,26.17751805264049
247,11.0,8.0,26.20328602614532
384,17.0,1.0,26.223673672630678
224,10.0,9.0,26.2524083950455
270,12.0,7.0,26.401732285107308
16,1.0,17.0,26.43742589938212
315,14.0,4.0,26.49766168247336
108,5.0,13.0,26.5493058971058
131,6.0,12.0,26.57318539770853
292,13.0,5.0,26.59461368155132
177,8.0,10.0,26.65462607997072
337,15.0,2.0,26.670566202258676
154,7.0,11.0,26.81210622455255
360,16.0,1.0,26.85359949401045
38,2.0,15.0,26.85551307322618
246,11.0,7.0,26.90547747635781
200,9.0,9.0,26.91091232399184
269,12.0,6.0,26.94128307469591
61,3.0,14.0,26.965068954546066
314,14.0,3.0,26.98178993369177
223,10.0,8.0,27.02831544626946
15,1.0,16.0,27.03059992847738
291,13.0,4.0,27.19993786193067
84,4.0,13.0,27.295455565248986
107,5.0,12.0,27.337750291579727
176,8.0,9.0,27.59636912592724
153,7.0,10.0,27.598042537154193
49,3.0,2.0,27.60268518040959
245,11.0,6.0,27.624504135555235
268,12.0,5.0,27.647047418774953
130,6.0,11.0,27.70133790059341
290,13.0,3.0,27.74272634312223
336,15.0,1.0,27.89705440429637
26,2.0,3.0,27.917109768510514
222,10.0,7.0,27.94693407881268
313,14.0,2.0,27.95854488194874
199,9.0,8.0,27.96760231611605
37,2.0,14.0,28.065101012109718
14,1.0,15.0,28.088127365419673
72,4.0,1.0,28.141070663542447
60,3.0,13.0,28.156558038895984
83,4.0,12.0,28.29955254282525
267,12.0,4.0,28.365900831194164
3,1.0,4.0,28.402000077992373
244,11.0,5.0,28.571329235261842
106,5.0,11.0,28.65458370773592
129,6.0,10.0,28.714731478482147
175,8.0,8.0,28.840684255123218
152,7.0,9.0,28.874161717440852
221,10.0,6.0,28.90825207968729
289,13.0,2.0,29.010785196802253
266,12.0,3.0,29.109131111354
198,9.0,7.0,29.183066222047586
36,2.0,13.0,29.384362898014537
243,11.0,4.0,29.391344695878807
59,3.0,12.0,29.43211989942409
312,14.0,1.0,29.45517091973264
13,1.0,14.0,29.654633950468092
82,4.0,11.0,29.72503806891909
220,10.0,5.0,29.985027139648448
128,6.0,9.0,30.04892755762477
105,5.0,10.0,30.06299328859363
197,9.0,6.0,30.21633335826045
151,7.0,8.0,30.261240030308862
174,8.0,7.0,30.291552789601308
242,11.0,3.0,30.64193527316029
265,12.0,2.0,30.740847597626647
288,13.0,1.0,30.80740088694924
35,2.0,12.0,30.87482476632063
12,1.0,13.0,31.100146875175252
58,3.0,11.0,31.1121034239405
219,10.0,4.0,31.260456553502703
173,8.0,6.0,31.51060898696795
81,4.0,10.0,31.551863917838286
196,9.0,5.0,31.63797119824203
104,5.0,9.0,31.814100418105745
150,7.0,7.0,31.917316069113784
127,6.0,8.0,31.920134154797797
241,11.0,2.0,32.768162953155354
195,9.0,4.0,33.00548647997893
34,2.0,11.0,33.08383149694909
218,10.0,3.0,33.10871292562636
264,12.0,1.0,33.12216884760602
11,1.0,12.0,33.212052283666424
172,8.0,5.0,33.41694009712155
149,7.0,6.0,33.42503110937711
