,total,chk_3,chk_4,ratio3
c1fc1fb3,,,,
45df5973,,,,
4e9ad38f,,,,
a306c9c2,,,,
43c32cb8,,,,
1e83d5d4,,,,
3656365c,,,,
fed8b0af,,,,
a84ba179,,,,
a6f7b5b7,,,,
e7275b32,,,,
f7d2731d,,,,
87780564,,,,
58b687c1,,,,
b01ed46a,,,,
d92cd804,,,,
ad406946,,,,
2dee2ec7,,,,
11719b45,,,,
17780c1a,,,,
0b52b744,,,,
4de069d1,,,,
7cc47de1,,,,
4571569a,,,,
49fce921,,,,
711a5c20,,,,
dda7ceec,,,,
1ff33029,,,,
5535a006,,,,
c1b709dc,,,,
e0e35a08,,,,
07352700,,,,
1f4da8a8,,,,
e3ad7557,,,,
07b0b738,,,,
2fcdfb5e,,,,
ecf0e33e,,,,
2f891f6d,,,,
3cc478bc,,,,
16bbb0f7,,,,
db6545f2,,,,
1b12071b,,,,
c7ed1f5e,,,,
a2a5c6d6,,,,
b522ae8a,,,,
ce2645d4,,,,
5b707a31,,,,
fc4ffb85,,,,
1d1e3576,,,,
76ef4a8c,,,,
9a046963,,,,
2760d1f3,,,,
407cb954,,,,
fbe67c2d,,,,
574a2196,,,,
63a8c099,,,,
ff2a7945,,,,
cf3e5cf2,,,,
7e219ad2,,,,
3716f720,,,,
14a7520c,,,,
c55605c6,,,,
31a7383c,,,,
b35deaf1,,,,
e963c513,,,,
54e5dda8,,,,
9936cccf,,,,
a65de360,,,,
ae3b073f,,,,
991dd7f5,,,,
5688a878,,,,
834a7f2d,,,,
6175e805,,,,
1bfab02d,,,,
13e3c9ef,,,,
55b97537,,,,
30a3c851,,,,
5f7f9757,,,,
3a7e2936,,,,
d37dad88,,,,
f15d9d8b,,,,
66502b77,,,,
12cd3429,,,,
f55289c1,,,,
1db24508,,,,
286ba81e,,,,
c5e90e38,,,,
22733402,,,,
8590c986,,,,
db67cf25,,,,
45b7f362,,,,
e5b8367f,,,,
b6135c9c,,,,
0c6eb689,,,,
84d5f7e1,,,,
06472968,,,,
094ea0c4,,,,
9db79097,,,,
18e10ee2,,,,
417b2655,,,,
faab095d,,,,
39610817,,,,
9c1c1129,,,,
e88bf698,,,,
28ddfc4f,,,,
635a98e2,,,,
42dac63c,,,,
5e3f1a51,,,,
cbd6359f,,,,
1dc02467,,,,
8899fc53,,,,
86ac0060,,,,
f9d1c471,,,,
f2cf00af,,,,
83cd8e0b,,,,
f2a1e47d,,,,
84dac21f,,,,
4bfaf1c0,,,,
3af3cd71,,,,
671a9488,,,,
49cdd060,,,,
5662643a,,,,
d2f35f12,,,,
5d0bbef4,,,,
b7a20a32,,,,
04032bc8,,,,
e48e219f,,,,
0cfa1dca,,,,
778ff51e,,,,
119c2652,,,,
b9354a73,,,,
f34a7618,,,,
5a7bd0da,,,,
b8f12c78,,,,
ebf399c5,,,,
b3e71b91,,,,
ed175648,,,,
8d297364,,,,
bca4c6a2,,,,
d1a67c6a,,,,
98f16f76,,,,
cdea3fd2,,,,
75ba5e2b,,,,
4fcd3758,,,,
4aff7f51,,,,
f42716f8,,,,
8d762d2e,,,,
5626b512,,,,
110a9438,,,,
6ac58df3,,,,
798732f7,,,,
ea694301,,,,
83d4fc5d,,,,
9bfefe39,,,,
756af5af,,,,
b5dae821,,,,
87ad1b09,,,,
a2814696,,,,
adf47f3e,,,,
60d93a64,,,,
a09ae43b,,,,
d7185d4b,,,,
6239e0ef,,,,
8afeab1e,,,,
f1a69a4c,,,,
ac7d2983,,,,
b296ce8d,,,,
3d45a29a,,,,
5ecfa94c,,,,
6add4760,,,,
7752489d,,,,
cfcd1acc,,,,
0d615400,,,,
6e072c2a,,,,
fe26b99c,,,,
1e9e0c05,,,,
b90a3c6d,,,,
8a375db1,,,,
2f452e28,,,,
538244a6,,,,
24a6cc57,,,,
3a4de9f5,,,,
fb75c15d,,,,
b8c73a56,,,,
f76268f4,,,,
2c77cb59,,,,
8af283fa,,,,
64ea109a,,,,
a56eba30,,,,
b0f1c1c2,,,,
dce4b0bb,,,,
38716bf5,,,,
96ef7379,,,,
1036c51b,,,,
58c1538e,,,,
7be161df,,,,
30a97295,,,,
9985db9a,,,,
916d7183,,,,
5deff917,,,,
f94833e8,,,,
8d09e1e1,,,,
e62f0337,,,,
009ad2c1,,,,
c9dd48f0,,,,
ffa7396a,,,,
a3075adc,,,,
