,f_fwd,f_bwd,avr_rmse
247,11,8,0.208180035
110,5,15,0.208198773
133,6,14,0.20826540600000001
64,3,17,0.208391512
87,4,16,0.208582679
201,9,10,0.20887534600000002
456,20,1,0.209039975
41,2,18,0.20922739699999998
19,1,20,0.20952452600000002
339,15,4,0.20955452800000002
178,8,11,0.210035445
385,17,2,0.210088649
269,12,6,0.210097185
362,16,3,0.210624695
292,13,5,0.210627061
432,19,1,0.210916043
155,7,12,0.211184092
246,11,7,0.211352773
86,4,15,0.211453974
132,6,13,0.21155659699999999
109,5,14,0.21157526
40,2,17,0.211867495
223,10,8,0.21201441399999998
200,9,9,0.212090503
315,14,4,0.212107976
63,3,16,0.21218938399999998
18,1,19,0.21228613899999998
177,8,10,0.213142415
408,18,1,0.213503705
361,16,2,0.214026291
154,7,11,0.214070562
338,15,3,0.21410336100000002
17,1,18,0.21426256300000002
268,12,5,0.214948695
291,13,4,0.21522903699999998
245,11,6,0.215473474
108,5,13,0.21549530100000003
26,2,3,0.21570629300000002
62,3,15,0.215754449
85,4,14,0.21592780399999997
222,10,7,0.215935932
131,6,12,0.215963529
39,2,16,0.216373443
199,9,8,0.21648302600000002
384,17,1,0.21708597899999998
176,8,9,0.217167883
314,14,3,0.21733826399999998
49,3,2,0.21748618100000003
153,7,10,0.21804067
337,15,2,0.21810422399999999
16,1,17,0.218299401
130,6,11,0.219186173
107,5,12,0.22007777
84,4,13,0.22030841
38,2,15,0.220817601
61,3,14,0.220835791
267,12,4,0.22089051699999998
221,10,6,0.22130548
290,13,3,0.22139823100000003
244,11,5,0.221411183
360,16,1,0.22181079999999997
198,9,7,0.22195625300000002
175,8,8,0.222917488
152,7,9,0.22322044800000002
313,14,2,0.223420724
3,1,4,0.22356456600000002
106,5,11,0.22450180100000003
15,1,16,0.22466825
72,4,1,0.22492078699999998
83,4,12,0.225636685
129,6,10,0.225982291
60,3,13,0.226201577
37,2,14,0.22736000899999997
336,15,1,0.227778211
289,13,2,0.229224646
197,9,6,0.22926680800000002
220,10,5,0.229583409
266,12,3,0.22983764199999998
243,11,4,0.230187753
174,8,7,0.230240157
151,7,8,0.23167211699999998
14,1,15,0.23168331600000003
82,4,11,0.232259892
128,6,9,0.232418555
105,5,10,0.23349669899999997
59,3,12,0.233565054
36,2,13,0.234009653
312,14,1,0.23552862100000002
196,9,5,0.239165825
173,8,6,0.239401635
13,1,14,0.239437603
219,10,4,0.240127952
150,7,7,0.240219595
265,12,2,0.240278725
242,11,3,0.242112885
104,5,9,0.24268267699999999
127,6,8,0.243322167
58,3,11,0.243466992
81,4,10,0.243857806
35,2,12,0.244579209
288,13,1,0.245894437
12,1,13,0.25166186399999996
195,9,4,0.253864191
149,7,6,0.254862604
126,6,7,0.255084698
172,8,5,0.255111672
218,10,3,0.256639664
80,4,9,0.257468217
241,11,2,0.257870085
57,3,10,0.258487866
34,2,11,0.259153715
103,5,8,0.259486173
264,12,1,0.263026463
11,1,12,0.267385356
171,8,4,0.275296495
194,9,3,0.278517102
217,10,2,0.279115952
148,7,5,0.279846511
125,6,6,0.280517072
102,5,7,0.280741236
73,4,2,0.281851597
56,3,9,0.28186249399999996
50,3,3,0.28256084800000003
27,2,4,0.28338431399999997
33,2,10,0.283768226
79,4,8,0.285343283
240,11,1,0.289875942
10,1,11,0.293909829
96,5,1,0.294993141
4,1,5,0.295686012
170,8,3,0.315935411
193,9,2,0.316829046
147,7,4,0.3182002
101,5,6,0.32062368399999996
124,6,5,0.322689402
78,4,7,0.324809345
32,2,9,0.32569122699999997
216,10,1,0.331632733
55,3,8,0.333096402
9,1,10,0.334792266
100,5,5,0.41131175799999997
169,8,2,0.415128055
146,7,3,0.418755799
192,9,1,0.427176483
54,3,7,0.428281631
77,4,6,0.42973153799999997
31,2,8,0.43713374899999996
74,4,3,0.438233621
97,5,2,0.44028539899999997
8,1,9,0.44179526399999997
28,2,5,0.44563613700000004
51,3,4,0.450078225
5,1,6,0.472374449
123,6,4,0.480157774
120,6,1,0.483739405
30,2,7,1.1209693379999999
99,5,4,1.191132004
145,7,2,1.2285628579999999
7,1,8,1.309572856
122,6,3,1.380374609
76,4,5,1.579429934
121,6,2,1.663715777
98,5,3,1.948804186
52,3,5,2.0040876919999997
29,2,6,2.038014463
53,3,6,2.2386898719999997
168,8,1,2.32813535
144,7,1,2.526371611
6,1,7,2.6861347230000003
75,4,4,3.18950358
