Time,values,nan,nan_bfaf,candidate,nan_len,result,mean,std,sample_len,z-score
2018-12-17 01:00:00,0.251,False,0.0,0.0,0.0,0.0,0.3036511627906977,0.10464790938710584,0.0,-0.5031267523552181
2018-12-17 02:00:00,0.28800000000000003,False,0.0,0.0,0.0,0.0,0.2787045454545454,0.08217637852911674,0.0,0.113115894273207
2018-12-17 03:00:00,0.198,False,0.0,0.0,0.0,0.0,0.2832325581395349,0.07250708904891803,0.0,-1.17550655056682
2018-12-17 04:00:00,4.921,False,1.0,1.0,11.0,1.0,0.332675,0.1036887322958874,40.0,44.25095088352224
2018-12-17 05:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2018-12-17 06:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2018-12-17 07:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2018-12-17 08:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2018-12-17 09:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2018-12-17 10:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2018-12-17 11:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2018-12-17 12:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2018-12-17 13:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2018-12-17 14:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2018-12-17 15:00:00,,True,1.0,0.0,0.0,0.0,,,0.0,
2018-12-17 16:00:00,0.213,False,1.0,0.0,0.0,0.0,0.461,0.186459915263308,0.0,-1.3300445816989066
2018-12-17 17:00:00,0.511,False,0.0,0.0,0.0,0.0,0.7055714285714285,0.31634190694656994,0.0,-0.6150668763727581
2018-12-17 18:00:00,0.835,False,0.0,0.0,0.0,0.0,0.7745952380952381,0.2651979527128983,0.0,0.22777235377135688
2018-12-17 19:00:00,0.617,False,0.0,0.0,0.0,0.0,0.7058809523809524,0.2286763825169142,0.0,-0.38867569708200306
2018-12-17 20:00:00,0.653,False,0.0,0.0,0.0,0.0,0.7436976744186047,0.23937940943433206,0.0,-0.37888669970791855
2018-12-17 21:00:00,0.691,False,0.0,0.0,0.0,0.0,0.6850697674418605,0.21080677175226437,0.0,0.028131129322109663
2018-12-17 22:00:00,0.636,False,0.0,0.0,0.0,0.0,0.5947674418604652,0.19892279397381216,0.0,0.20727920272909023
2018-12-17 23:00:00,0.452,False,0.0,0.0,0.0,0.0,0.4783414634146342,0.16403591218938882,0.0,-0.16058351529890263
2018-12-18 00:00:00,0.375,False,0.0,0.0,0.0,0.0,0.36773170731707316,0.09594582439852292,0.0,0.07575413238138512
2018-12-18 01:00:00,0.343,False,0.0,0.0,0.0,0.0,0.30300000000000005,0.10582820869738636,0.0,0.37797105792822383
2018-12-18 02:00:00,0.336,False,0.0,0.0,0.0,0.0,0.277953488372093,0.08299597049552411,0.0,0.6993895159167687
2018-12-18 03:00:00,0.235,False,0.0,0.0,0.0,0.0,0.2810952380952381,0.07200196796897529,0.0,-0.6401941418476225
2018-12-18 04:00:00,0.297,False,0.0,0.0,0.0,0.0,0.33207692307692305,0.10497427870808829,0.0,-0.3341477884736385
2018-12-18 05:00:00,0.381,False,0.0,0.0,0.0,0.0,0.37843589743589734,0.09407298255016655,0.0,0.02725652461093492
2018-12-18 06:00:00,0.393,False,0.0,0.0,0.0,0.0,0.3138947368421054,0.10491123390074833,0.0,0.7540209014482897
2018-12-18 07:00:00,0.541,False,0.0,0.0,0.0,0.0,0.4218157894736841,0.14577822016228698,0.0,0.8175721338457462
